model,rmse_training mean cv,rmse_validation mean cv,rmse_testing mean cv,r2_training mean cv,r2_validation mean cv,r2_testing mean cv
LinearRegression,2.45953,3.1085,3.66854,0.90952,0.85517,0.88084
ElasticNet,2.46728,3.08918,3.67384,0.90895,0.85698,0.88049
BayesianRidge,2.54762,3.0248,3.72865,0.90293,0.86292,0.8769
DecisionTreeRegressor,0.13236,4.71827,4.10069,0.99973,0.66565,0.85111
XGBRegressor,0.00946,3.84333,4.12709,1.0,0.77863,0.84918
LGBMRegressor,2.01807,3.15557,3.59375,0.938,0.85065,0.88564
Ridge,2.4596,3.10761,3.6685,0.90952,0.85526,0.88084
Lasso,2.461,3.10371,3.66932,0.90941,0.85562,0.88078
PoissonRegressor,1.29743,23.18715,9.19219,0.97477,-7.85629,0.25183
